,Year,Area,DeathCount,Population
472,2009,Minnesota,2432,5247018
473,2009,South Dakota,444,799124
474,2009,Texas,9647,24309039
475,2009,Vermont,380,624151
476,2009,Virginia,3969,7833496
477,2009,Wisconsin,2912,5640996
478,2009,Washington,3150,6562231
479,2009,District of Columbia,294,580236
480,2009,Florida,11963,18527305
481,2009,Georgia,4325,9504843
482,2009,Pennsylvania,7950,12612285
483,2009,Oregon,2079,3768748
484,2009,Massachusetts,3552,6468967
485,2009,Illinois,6809,12747038
486,2009,Iowa,1791,3016734
487,2009,Kansas,1556,2808076
488,2009,New Hampshire,684,1315906
489,2009,Montana,541,976415
490,2009,Maryland,2872,5684965
491,2009,Tennessee,4296,6247411
492,2009,West Virginia,1468,1840310
493,2009,Alaska,258,687455
494,2009,Delaware,571,883874
495,2009,Alabama,3079,4718206
496,2009,Arkansas,2218,2874554
497,2009,South Carolina,2759,4528996
498,2009,Rhode Island,692,1055003
499,2009,Oklahoma,2386,3668976
500,2009,Ohio,7345,11515391
501,2009,North Carolina,5369,9309449
502,2009,Michigan,5898,9946889
503,2009,Indiana,4170,6424806
504,2009,Kentucky,3478,4289878
505,2009,Louisiana,2707,4435586
506,2009,Maine,931,1330509
507,2009,Nevada,1327,2653630
508,2009,Missouri,3943,5923916
509,2009,Mississippi,1995,2947806
510,2010,Utah,424,2723421
511,2010,New Mexico,700,2036802
512,2010,Hawaii,544,1346717
513,2010,North Dakota,309,664968
514,2010,California,13119,36961229
515,2010,Colorado,1639,4972195
516,2010,Arizona,2725,6343154
517,2010,Nebraska,883,1812683
518,2010,New Jersey,4161,8755602
519,2010,New York,9005,19307066
520,2010,Minnesota,2400,5281203
521,2010,Montana,477,983982
522,2010,Idaho,641,1554439
523,2010,District of Columbia,236,592228
524,2010,Wisconsin,2884,5669264
525,2010,Wyoming,240,559851
526,2010,South Dakota,386,807067
527,2010,Texas,9575,24801761
528,2010,Connecticut,1772,3561807
529,2010,Iowa,1758,3032870
530,2010,Nevada,1329,2684665
531,2010,Kansas,1571,2832704
532,2010,New Hampshire,747,1316102
533,2010,Maryland,2843,5730388
534,2010,Massachusetts,3574,6517613
